type;brand;category;sku;ean;name;hexa;colorName;description;size
Children;Polo Ralph Lauren;BOYS SS KNITS;305627;5045016350362;Cotton Mesh Polo Shirt;#1f253b;French Navy;In lightweight, breathable cotton mesh, this Polo shirt is just as classic as Dad's, down to our signature embroidered pony at the chest.;SIZE 4
Children;Polo Ralph Lauren;BOYS SS KNITS;305627;3603759870022;Cotton Mesh Polo Shirt;;French Navy;In lightweight, breathable cotton mesh, this Polo shirt is just as classic as Dad's, down to our signature embroidered pony at the chest.;SIZE 5
Children;Polo Ralph Lauren;BOYS SS KNITS;305627;3603759870039;Cotton Mesh Polo Shirt;;French Navy;In lightweight, breathable cotton mesh, this Polo shirt is just as classic as Dad's, down to our signature embroidered pony at the chest.;SIZE 6
Children;Polo Ralph Lauren;BOYS SS KNITS;305627;3603759870046;Cotton Mesh Polo Shirt;#1f253b;French Navy;In lightweight, breathable cotton mesh, this Polo shirt is just as classic as Dad's, down to our signature embroidered pony at the chest.;SIZE 7
Children;Polo Ralph Lauren;BOYS SS KNITS;305703;3603759845198;Cotton Mesh Polo Shirt;;French Navy;In lightweight, breathable cotton mesh, this Polo shirt is just as classic as Dad's, down to our signature embroidered pony at the chest.;TODDLER 2
Children;Polo Ralph Lauren;BOYS SS KNITS;305703;3603759845204;Cotton Mesh Polo Shirt;;French Navy;In lightweight, breathable cotton mesh, this Polo shirt is just as classic as Dad's, down to our signature embroidered pony at the chest.;TODDLER 3
Children;Polo Ralph Lauren;BOYS SS KNITS;305703;3603759845211;Cotton Mesh Polo Shirt;#1f253b;French Navy;In lightweight, breathable cotton mesh, this Polo shirt is just as classic as Dad's, down to our signature embroidered pony at the chest.;TODDLER 4
Men;Polo Ralph Lauren;UNDERWEAR;309448;4045235824010;Stretch-Cotton-Trunk 3-Pack;#FFFFFF;White;This three-pack contains stretch-cotton trunks that are tailored for a snug fit and feature our signature “Polo Ralph Lauren” waistband.;XS
Men;Polo Ralph Lauren;UNDERWEAR;309448;4045235824003;Stretch-Cotton-Trunk 3-Pack;#FFFFFF;White;This three-pack contains stretch-cotton trunks that are tailored for a snug fit and feature our signature “Polo Ralph Lauren” waistband.;S
Men;Polo Ralph Lauren;UNDERWEAR;309448;4045235823990;Stretch-Cotton-Trunk 3-Pack;;White;This three-pack contains stretch-cotton trunks that are tailored for a snug fit and feature our signature “Polo Ralph Lauren” waistband.;M
Men;Polo Ralph Lauren;UNDERWEAR;309448;4045235824034;Stretch-Cotton-Trunk 3-Pack;;White;This three-pack contains stretch-cotton trunks that are tailored for a snug fit and feature our signature “Polo Ralph Lauren” waistband.;L
Men;Polo Ralph Lauren;UNDERWEAR;309448;4045235824041;Stretch-Cotton-Trunk 3-Pack;;White;This three-pack contains stretch-cotton trunks that are tailored for a snug fit and feature our signature “Polo Ralph Lauren” waistband.;XL
Men;Polo Ralph Lauren;CAPS;1151213;3611581319091;Cotton Chino Baseball Cap;#FFFFFF;White/Marlin Blue Pp;Our signature embroidered Pony—the result of 982 individual stitches—gives this baseball cap an iconic Polo finish.;OS
Women;Polo Ralph Lauren;SWEATERS;1156674;3614710027041;Cable-Knit Boatneck Sweater;;Pearl;Cable-knit from an ultra-soft silk blend, this timeless sweater features a flattering bateau neckline and tonal rib-knit panels. ;XXS
Women;Polo Ralph Lauren;SWEATERS;1156674;3614710027058;Cable-Knit Boatneck Sweater;;Pearl;Cable-knit from an ultra-soft silk blend, this timeless sweater features a flattering bateau neckline and tonal rib-knit panels. ;XS
Women;Polo Ralph Lauren;SWEATERS;1156674;3614710027065;Cable-Knit Boatneck Sweater;;Pearl;Cable-knit from an ultra-soft silk blend, this timeless sweater features a flattering bateau neckline and tonal rib-knit panels. ;S
Women;Polo Ralph Lauren;SWEATERS;1156674;3614710027072;Cable-Knit Boatneck Sweater;;Pearl;Cable-knit from an ultra-soft silk blend, this timeless sweater features a flattering bateau neckline and tonal rib-knit panels. ;M
Women;Polo Ralph Lauren;SWEATERS;1156674;3614710027089;Cable-Knit Boatneck Sweater;;Pearl;Cable-knit from an ultra-soft silk blend, this timeless sweater features a flattering bateau neckline and tonal rib-knit panels. ;L
Women;Polo Ralph Lauren;SWEATERS;1156674;3614710027096;Cable-Knit Boatneck Sweater;#e3d8cf;Pearl;Cable-knit from an ultra-soft silk blend, this timeless sweater features a flattering bateau neckline and tonal rib-knit panels. ;XL
Men;Polo Ralph Lauren;FOOTWEAR;1161246;3611586815024;Ponteland Suede Sneaker;#1f253b;Newport Navy/Newport Navy;Inspired by retro running shoes, this suede-trimmed sneaker combines a curved outsole with a lightweight EVA midsole to cushion your stride.;7D
Men;Polo Ralph Lauren;FOOTWEAR;1161246;3611586815048;Ponteland Suede Sneaker;#1f253b;Newport Navy/Newport Navy;Inspired by retro running shoes, this suede-trimmed sneaker combines a curved outsole with a lightweight EVA midsole to cushion your stride.;8D
Men;Polo Ralph Lauren;FOOTWEAR;1161246;3611586815062;Ponteland Suede Sneaker;;Newport Navy/Newport Navy;Inspired by retro running shoes, this suede-trimmed sneaker combines a curved outsole with a lightweight EVA midsole to cushion your stride.;9D
Men;Polo Ralph Lauren;FOOTWEAR;1161246;3611586815086;Ponteland Suede Sneaker;;Newport Navy/Newport Navy;Inspired by retro running shoes, this suede-trimmed sneaker combines a curved outsole with a lightweight EVA midsole to cushion your stride.;10D
Men;Polo Ralph Lauren;FOOTWEAR;1161246;3611586815109;Ponteland Suede Sneaker;;Newport Navy/Newport Navy;Inspired by retro running shoes, this suede-trimmed sneaker combines a curved outsole with a lightweight EVA midsole to cushion your stride.;11D
Men;Polo Ralph Lauren;FOOTWEAR;1161246;3611586815130;Ponteland Suede Sneaker;;Newport Navy/Newport Navy;Inspired by retro running shoes, this suede-trimmed sneaker combines a curved outsole with a lightweight EVA midsole to cushion your stride.;
Men;Polo Ralph Lauren;FOOTWEAR;1161246;3611586815123;Ponteland Suede Sneaker;;Newport Navy/Newport Navy;Inspired by retro running shoes, this suede-trimmed sneaker combines a curved outsole with a lightweight EVA midsole to cushion your stride.;12D
Men;Polo Ralph Lauren;KNITS;1236636;3611589164501;Classic-Fit Mesh Polo Shirt;#ffabc8;Carmel Pink;Ralph Lauren debuted his original polo shirt in 1972, and today the iconic style is offered in a wide array of colors and fits. This short-sleeve version is made from breathable cotton mesh and cut for a roomy silhouette. What’s more, the tennis tail helps keep the shirt in place when tucked in, and our signature embroidered pony gives it a classic touch.;XS
